ms,read
218155,101215
218198,101218
218241,101192
218284,101176
218327,101157
218370,101142
218413,101148
218456,101156
218499,101157
218542,101179
218585,101201
218628,101213
218671,101222
218714,101242
218757,101264
218800,101272
218843,101268
218886,101264
218929,101252
218972,101249
219015,101236
219058,101208
219101,101190
219144,101170
219187,101159
219230,101146
219273,101145
219316,101155
219359,101165
219402,101179
219445,101200
219488,101214
219531,101231
219574,101250
219617,101261
219660,101267
219703,101269
219746,101261
219789,101257
219832,101244
219875,101228
219918,101216
219961,101188
220004,101156
220047,101137
220090,101137
220133,101137
220176,101145
220219,101153
220262,101183
220305,101209
220348,101227
220391,101246
220434,101256
220477,101271
220520,101268
220563,101258
220606,101259
220649,101261
220692,101251
220735,101227
220778,101211
220821,101186
220864,101161
220907,101143
220950,101136
220993,101147
221036,101163
221079,101170
221122,101187
221165,101201
221208,101207
221251,101230
221294,101244
221337,101247
221380,101254
221423,101250
221466,101250
221509,101246
221552,101239
221595,101228
221638,101209
221681,101185
221724,101158
221767,101135
221810,101126
221853,101147
221896,101166
221939,101190
221982,101205
222025,101213
222068,101221
222111,101233
222154,101247
222197,101254
222240,101250
222283,101262
222326,101251
222369,101247
222412,101236
222455,101221
222498,101208
222541,101188
222584,101171
222627,101161
222670,101141
222713,101137
222756,101145
222799,101159
222842,101174
222885,101187
222928,101211
222971,101216
223014,101227
223057,101248
223100,101256
223143,101262
223186,101259
223229,101257
223272,101241
223315,101232
223358,101217
223401,101204
223444,101178
223487,101146
223530,101141
223573,101144
223616,101152
223659,101170
223702,101180
223745,101189
223788,101202
223831,101207
223874,101226
223917,101243
223960,101254
224003,101259
224046,101259
224089,101248
224132,101246
224175,101244
224218,101229
224261,101212
224304,101187
224347,101164
224390,101160
224433,101149
224476,101141
224519,101145
224562,101151
224605,101181
224648,101203
224691,101211
224734,101229
224777,101247
224820,101251
224863,101256
224906,101258
224949,101255
224992,101244
225035,101235
225078,101222
225121,101210
225164,101208
225207,101183
225250,101164
225293,101148
225336,101149
225379,101150
225422,101160
225465,101182
225508,101196
225551,101209
225594,101220
225637,101240
225680,101253
225723,101263
225766,101265
225809,101259
225852,101259
225895,101244
225938,101237
225981,101222
226024,101216
226067,101191
226110,101169
226153,101160
226196,101152
226239,101143
226282,101142
226325,101152
226368,101162
226411,101175
226454,101188
226497,101207
226540,101212
226583,101233
226626,101246
226669,101257
226712,101258
226755,101254
226798,101252
226841,101242
226884,101229
226927,101220
226970,101204
227013,101196
227056,101176
227099,101163
227142,101155
227185,101153
227228,101162
227271,101176
227314,101186
227357,101204
227400,101209
227443,101217
227486,101235
227529,101241
227572,101257
227615,101268
227658,101263
227701,101261
227744,101251
227787,101243
227830,101217
227873,101206
227916,101188
227959,101165
228002,101148
228045,101140
228088,101142
228131,101147
228174,101155
228217,101174
228260,101201
228303,101211
228346,101221
228389,101241
228432,101258
228475,101269
228518,101257
228561,101256
228604,101251
228647,101241
228690,101231
228733,101209
228776,101186
228819,101165
228862,101148
228905,101140
228948,101141
228991,101148
229034,101168
229077,101189
229120,101194
229163,101214
229206,101234
229249,101246
229292,101259
229335,101262
229378,101265
229421,101253
229464,101244
229507,101236
229550,101212
229593,101194
229636,101173
229679,101149
229722,101141
229765,101141
229808,101162
229851,101182
229894,101207
229937,101210
229980,101228
230023,101243
230066,101248
230109,101251
230152,101254
230195,101256
230238,101248
230281,101232
230324,101223
230367,101214
230410,101197
230453,101175
230496,101146
230539,101137
230582,101146
230625,101158
230668,101170
230711,101188
230754,101206
230797,101217
230840,101222
230883,101238
230926,101254
230969,101267
231012,101272
231055,101268
231098,101257
231141,101246
231184,101230
231227,101206
231270,101179
231313,101140
231356,101129
231399,101131
231442,101147
231485,101163
231528,101180
231571,101196
231614,101204
231657,101210
231700,101223
231743,101245
231786,101257
231829,101266
231872,101265
231915,101264
231958,101251
232001,101240
232044,101216
232087,101197
232130,101163
232173,101148
232216,101135
232259,101130
232302,101141
232345,101165
232388,101192
232431,101211
232474,101223
232517,101229
232560,101252
232603,101269
232646,101273
232689,101272
232732,101263
232775,101251
232818,101248
232861,101228
232904,101216
232947,101183
